unified_rank,strength_rank,platform,product_id,price,level,total_yellow,team_count,team_bonus,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,detail_url
173,163,kejinshou,34740908,126.0,0,20,0,0,0.0,363.0,160.0,523.0,4.151,https://m.kejinshou.com/goods/details/34740908
174,146,kejinshou,34414497,135.0,57,27,0,0,0.86,419.25,140.0,560.11,4.149,https://m.kejinshou.com/goods/details/34414497
175,128,kejinshou,33879141,150.0,66,19,1,100,6.66,409.95,104.0,620.61,4.137,https://m.kejinshou.com/goods/details/33879141
176,155,kejinshou,34306836,130.0,59,26,0,0,6.41,417.95,113.0,537.36,4.134,https://m.kejinshou.com/goods/details/34306836
177,156,kejinshou,35196911,130.0,60,23,0,0,0.61,382.6,154.0,537.21,4.132,https://m.kejinshou.com/goods/details/35196911
178,172,kejinshou,34537161,120.0,77,24,0,0,0.0,303.0,190.0,493.0,4.108,https://m.kejinshou.com/goods/details/34537161
179,220,kejinshou,34531972,80.0,70,18,0,0,0.0,196.0,130.0,326.0,4.075,https://m.kejinshou.com/goods/details/34531972
180,221,kejinshou,8107396,80.0,70,18,0,0,0.0,196.0,130.0,326.0,4.075,https://m.kejinshou.com/goods/details/8107396
181,190,kejinshou,35872022,105.0,62,17,0,0,1.33,324.0,100.0,425.33,4.051,https://m.kejinshou.com/goods/details/35872022
182,161,kejinshou,35938493,130.0,53,14,0,0,0.24,354.3,170.0,524.54,4.035,https://m.kejinshou.com/goods/details/35938493
183,164,kejinshou,34884901,130.0,52,18,0,0,0.55,387.55,133.0,521.1,4.008,https://m.kejinshou.com/goods/details/34884901
184,145,kejinshou,34848699,140.0,71,23,0,0,1.33,467.0,92.0,560.33,4.002,https://m.kejinshou.com/goods/details/34848699
185,125,kejinshou,30206647,160.0,67,19,0,0,0.0,504.1,133.0,637.1,3.982,https://m.kejinshou.com/goods/details/30206647
186,147,kejinshou,35213354,140.0,58,13,0,0,0.72,388.45,168.0,557.17,3.98,https://m.kejinshou.com/goods/details/35213354
187,166,kejinshou,28777538,130.0,80,25,0,0,0.0,366.6,150.0,516.6,3.974,https://m.kejinshou.com/goods/details/28777538
188,168,kejinshou,35619888,127.0,65,15,0,0,0.0,330.6,172.0,502.6,3.957,https://m.kejinshou.com/goods/details/35619888
189,207,kejinshou,34222350,95.0,45,13,0,0,6.56,299.4,70.0,375.96,3.957,https://m.kejinshou.com/goods/details/34222350
190,216,kejinshou,35847332,88.0,54,16,0,0,0.0,305.6,40.0,345.6,3.927,https://m.kejinshou.com/goods/details/35847332
191,127,kejinshou,34541240,160.0,62,21,0,0,0.0,426.0,200.0,626.0,3.913,https://m.kejinshou.com/goods/details/34541240
192,131,kejinshou,34540788,158.0,59,20,0,0,0.0,477.6,140.0,617.6,3.909,https://m.kejinshou.com/goods/details/34540788
193,137,kejinshou,34537500,150.0,79,23,0,0,0.0,322.0,260.0,582.0,3.88,https://m.kejinshou.com/goods/details/34537500
194,178,kejinshou,34532026,120.0,80,27,0,0,0.0,303.6,154.0,457.6,3.813,https://m.kejinshou.com/goods/details/34532026
195,244,kejinshou,35947450,50.0,46,8,0,0,2.16,128.2,60.0,190.36,3.807,https://m.kejinshou.com/goods/details/35947450
196,181,kejinshou,34424409,118.0,54,22,0,0,1.19,356.9,90.0,448.09,3.797,https://m.kejinshou.com/goods/details/34424409
197,229,kejinshou,30630667,70.0,53,8,0,0,0.0,212.8,50.0,262.8,3.754,https://m.kejinshou.com/goods/details/30630667
198,149,kejinshou,35427263,150.0,55,19,0,0,0.42,431.05,123.0,554.47,3.696,https://m.kejinshou.com/goods/details/35427263
199,198,kejinshou,34348916,110.0,37,17,0,0,0.24,367.6,30.0,397.84,3.617,https://m.kejinshou.com/goods/details/34348916
200,246,kejinshou,5792972,45.0,47,10,0,0,0.0,122.7,40.0,162.7,3.616,https://m.kejinshou.com/goods/details/5792972
201,232,kejinshou,34531879,70.0,55,17,0,0,0.0,153.0,100.0,253.0,3.614,https://m.kejinshou.com/goods/details/34531879
202,187,kejinshou,28777639,120.0,69,20,0,0,0.0,283.6,150.0,433.6,3.613,https://m.kejinshou.com/goods/details/28777639
203,213,kejinshou,35909455,100.0,17,6,0,0,3.67,356.3,0.0,359.97,3.6,https://m.kejinshou.com/goods/details/35909455
204,141,kejinshou,30191264,160.0,76,21,0,0,0.0,375.6,200.0,575.6,3.598,https://m.kejinshou.com/goods/details/30191264
205,208,kejinshou,34222519,105.0,47,18,0,0,0.36,336.3,39.0,375.66,3.578,https://m.kejinshou.com/goods/details/34222519
206,157,kejinshou,34537280,150.0,73,22,0,0,0.0,330.0,200.0,530.0,3.533,https://m.kejinshou.com/goods/details/34537280
207,158,kejinshou,34312816,150.0,54,25,0,0,11.11,415.0,103.0,529.11,3.527,https://m.kejinshou.com/goods/details/34312816
208,191,kejinshou,34532132,120.0,80,24,0,0,0.0,273.2,150.0,423.2,3.527,https://m.kejinshou.com/goods/details/34532132
209,160,kejinshou,35938765,150.0,63,13,0,0,17.71,327.0,180.0,524.71,3.498,https://m.kejinshou.com/goods/details/35938765
210,193,kejinshou,29268574,120.0,56,17,0,0,0.0,348.6,70.0,418.6,3.488,https://m.kejinshou.com/goods/details/29268574
211,182,kejinshou,34535903,130.0,70,19,0,0,0.0,285.8,160.0,445.8,3.429,https://m.kejinshou.com/goods/details/34535903
212,188,kejinshou,35930811,126.0,62,18,0,0,0.01,331.0,100.0,431.01,3.421,https://m.kejinshou.com/goods/details/35930811
213,185,kejinshou,34536000,130.0,64,18,0,0,0.0,247.0,192.0,439.0,3.377,https://m.kejinshou.com/goods/details/34536000
214,169,kejinshou,35327470,150.0,51,10,0,0,1.11,375.8,120.0,496.91,3.313,https://m.kejinshou.com/goods/details/35327470
215,242,kejinshou,34532239,60.0,62,18,0,0,0.0,118.8,80.0,198.8,3.313,https://m.kejinshou.com/goods/details/34532239
216,211,kejinshou,35778573,110.0,47,14,0,0,0.02,282.0,80.0,362.02,3.291,https://m.kejinshou.com/goods/details/35778573
217,179,kejinshou,34536809,140.0,76,20,0,0,0.0,253.0,200.0,453.0,3.236,https://m.kejinshou.com/goods/details/34536809
218,231,kejinshou,31643313,80.0,43,7,0,0,0.23,217.5,40.0,257.73,3.222,https://m.kejinshou.com/goods/details/31643313
219,194,kejinshou,35268418,130.0,49,12,0,0,21.21,292.65,100.0,413.86,3.184,https://m.kejinshou.com/goods/details/35268418
220,223,kejinshou,35211574,98.0,45,8,0,0,0.01,230.4,80.0,310.41,3.167,https://m.kejinshou.com/goods/details/35211574
221,233,kejinshou,8107413,80.0,55,17,0,0,0.0,153.0,100.0,253.0,3.163,https://m.kejinshou.com/goods/details/8107413
222,176,kejinshou,35475027,150.0,50,17,0,0,13.88,332.35,113.0,459.22,3.061,https://m.kejinshou.com/goods/details/35475027
223,245,kejinshou,32466872,55.0,44,7,0,0,5.61,131.8,30.0,167.41,3.044,https://m.kejinshou.com/goods/details/32466872
224,201,kejinshou,31318912,130.0,53,19,0,0,0.31,304.7,83.0,388.01,2.985,https://m.kejinshou.com/goods/details/31318912
225,186,kejinshou,35845660,150.0,48,13,0,0,0.77,366.1,70.0,436.87,2.912,https://m.kejinshou.com/goods/details/35845660
226,174,kejinshou,35012818,160.0,55,14,0,0,6.02,308.65,150.0,464.67,2.904,https://m.kejinshou.com/goods/details/35012818
227,225,kejinshou,29665271,100.0,63,14,0,0,0.0,204.1,80.0,284.1,2.841,https://m.kejinshou.com/goods/details/29665271
228,218,kejinshou,34531864,120.0,71,20,0,0,0.0,195.0,140.0,335.0,2.792,https://m.kejinshou.com/goods/details/34531864
229,219,kejinshou,8107436,120.0,71,20,0,0,0.0,195.0,140.0,335.0,2.792,https://m.kejinshou.com/goods/details/8107436
230,227,kejinshou,34531850,100.0,72,20,0,0,0.0,179.0,100.0,279.0,2.79,https://m.kejinshou.com/goods/details/34531850
231,212,kejinshou,35015598,130.0,54,14,0,0,0.14,330.45,30.0,360.59,2.774,https://m.kejinshou.com/goods/details/35015598
232,210,kejinshou,35165795,135.0,47,13,0,0,0.39,327.6,40.0,367.99,2.726,https://m.kejinshou.com/goods/details/35165795
233,240,kejinshou,35484615,80.0,55,9,0,0,5.31,138.8,70.0,214.11,2.676,https://m.kejinshou.com/goods/details/35484615
234,215,kejinshou,34536735,130.0,68,18,0,0,0.0,186.0,160.0,346.0,2.662,https://m.kejinshou.com/goods/details/34536735
235,241,kejinshou,32515163,80.0,41,12,0,0,0.05,188.2,20.0,208.25,2.603,https://m.kejinshou.com/goods/details/32515163
236,204,kejinshou,34008133,150.0,45,18,0,0,6.56,271.6,104.0,382.16,2.548,https://m.kejinshou.com/goods/details/34008133
237,205,kejinshou,34129569,150.0,58,25,0,0,0.41,258.3,123.0,381.71,2.545,https://m.kejinshou.com/goods/details/34129569
238,238,kejinshou,34700534,90.0,38,5,0,0,7.33,138.3,80.0,225.62,2.507,https://m.kejinshou.com/goods/details/34700534
239,217,kejinshou,34537260,135.0,67,19,0,0,0.0,226.0,110.0,336.0,2.489,https://m.kejinshou.com/goods/details/34537260
240,248,kejinshou,7251602,60.0,54,10,0,0,0.0,119.1,30.0,149.1,2.485,https://m.kejinshou.com/goods/details/7251602
241,249,kejinshou,33360240,60.0,46,10,0,0,0.68,136.2,10.0,146.88,2.448,https://m.kejinshou.com/goods/details/33360240
242,237,kejinshou,34057745,100.0,48,12,0,0,0.11,206.3,20.0,226.41,2.264,https://m.kejinshou.com/goods/details/34057745
243,222,kejinshou,34592262,150.0,66,17,0,0,4.82,244.1,70.0,318.92,2.126,https://m.kejinshou.com/goods/details/34592262
244,224,kejinshou,31454193,150.0,57,14,0,0,0.2,279.6,20.0,299.8,1.999,https://m.kejinshou.com/goods/details/31454193
245,243,kejinshou,8107380,100.0,62,18,0,0,0.0,118.8,80.0,198.8,1.988,https://m.kejinshou.com/goods/details/8107380
246,228,kejinshou,8107387,150.0,72,20,0,0,0.0,179.0,100.0,279.0,1.86,https://m.kejinshou.com/goods/details/8107387
247,236,kejinshou,34738585,129.0,0,18,0,0,0.0,169.8,60.0,229.8,1.781,https://m.kejinshou.com/goods/details/34738585
248,254,kejinshou,35867734,49.0,41,6,0,0,0.46,60.3,20.0,80.76,1.648,https://m.kejinshou.com/goods/details/35867734
249,256,kejinshou,33315356,50.0,35,6,0,0,1.76,73.6,0.0,75.36,1.507,https://m.kejinshou.com/goods/details/33315356
250,234,kejinshou,35621007,159.0,0,22,0,0,0.0,105.0,130.0,235.0,1.478,https://m.kejinshou.com/goods/details/35621007
251,251,kejinshou,5705689,100.0,49,10,0,0,0.0,100.3,20.0,120.3,1.203,https://m.kejinshou.com/goods/details/5705689
252,247,kejinshou,5781254,150.0,53,13,0,0,0.0,111.0,50.0,161.0,1.073,https://m.kejinshou.com/goods/details/5781254
253,252,kejinshou,35402088,110.0,34,5,0,0,15.18,73.0,20.0,108.18,0.983,https://m.kejinshou.com/goods/details/35402088
254,250,kejinshou,34661982,150.0,50,8,0,0,17.0,96.3,20.0,133.3,0.889,https://m.kejinshou.com/goods/details/34661982
255,255,kejinshou,4491438,100.0,30,5,0,0,0.0,80.6,0.0,80.6,0.806,https://m.kejinshou.com/goods/details/4491438
256,253,kejinshou,33940315,150.0,35,13,0,0,1.68,77.3,10.0,88.97,0.593,https://m.kejinshou.com/goods/details/33940315
257,257,pzds,MC2GLP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC2GLP/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
258,258,pzds,MCGAPY,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCGAPY/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
259,259,pzds,MCG66G,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCG66G/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
260,260,pzds,MC3AKE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC3AKE/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
261,261,pzds,MC38PZ,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC38PZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
262,262,pzds,MC1E9V,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC1E9V/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
263,263,pzds,MC86Q4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC86Q4/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
264,264,pzds,MCDWK2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCDWK2/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
265,265,pzds,MC6EAK,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC6EAK/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
266,266,pzds,MCH4QE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCH4QE/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
267,267,pzds,MC8N2V,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC8N2V/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
268,268,pzds,MC0Q05,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC0Q05/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
269,269,pzds,MC4K9D,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC4K9D/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
270,270,pzds,MCA6F9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCA6F9/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
271,271,pzds,MC1T96,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC1T96/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
272,272,pzds,MC8H16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC8H16/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
273,273,pzds,MCEUYB,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCEUYB/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
274,274,pzds,MCHKTB,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCHKTB/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
275,275,pzds,MC28W6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC28W6/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
276,276,pzds,MCAEK4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCAEK4/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
277,277,pzds,MC29JZ,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC29JZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
278,278,pzds,MC4SF7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC4SF7/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
279,279,pzds,MC92PV,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC92PV/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
280,280,pzds,MC4K1N,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC4K1N/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
281,281,pzds,MCB8QS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCB8QS/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
282,282,pzds,MC4KEU,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC4KEU/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
283,283,pzds,MCC7XG,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCC7XG/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
284,284,pzds,MC5VDP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC5VDP/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
285,285,pzds,MC9T5Z,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC9T5Z/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
286,286,pzds,MCAD8V,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCAD8V/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
287,287,pzds,MCEQ64,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCEQ64/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
288,288,pzds,MC9Y04,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC9Y04/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
289,289,pzds,MCBXEM,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCBXEM/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
290,290,pzds,MCCS4E,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCCS4E/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
291,291,pzds,MCGMNA,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCGMNA/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
292,292,pzds,MC1GRX,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC1GRX/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
293,293,pzds,MCC3YR,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCC3YR/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
294,294,pzds,MC3F6V,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC3F6V/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
295,295,pzds,MCB6FQ,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCB6FQ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
296,296,pzds,MCCBL2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCCBL2/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
297,297,pzds,MC1LTX,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC1LTX/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
298,298,pzds,MC34QS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MC34QS/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
299,299,pzds,MCEBYS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCEBYS/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
300,300,pzds,MCCXGU,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,https://www.pzds.com/goodsDetails/MCCXGU/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
