unified_rank,strength_rank,platform,product_id,price,level,total_yellow,team_count,team_bonus,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,detail_url
35,40,pzds,MC4KHZ,130,68,26,0,0,8.84,815.9,188.0,1012.74,7.79,https://www.pzds.com/goodsDetails/MC4KHZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
36,11,pzds,MCH4TN,160,79,29,2,200,4.86,768.35,270.0,1243.21,7.77,https://www.pzds.com/goodsDetails/MCH4TN/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
37,21,kejinshou,35632501,150.0,74,26,1,100,0.68,872.75,153.0,1126.42,7.509,https://m.kejinshou.com/goods/details/35632501
38,43,kejinshou,35257796,130.0,75,30,0,0,1.29,730.6,243.0,974.89,7.499,https://m.kejinshou.com/goods/details/35257796
39,33,pzds,MC8NQ1,140,77,35,0,0,13.29,844.6,188.0,1045.89,7.471,https://www.pzds.com/goodsDetails/MC8NQ1/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
40,37,kejinshou,35208178,137.0,67,28,1,100,0.0,651.1,270.0,1021.1,7.453,https://m.kejinshou.com/goods/details/35208178
41,88,kejinshou,35892961,105.0,65,26,0,0,0.54,531.0,250.0,781.54,7.443,https://m.kejinshou.com/goods/details/35892961
42,75,kejinshou,30273015,110.0,80,35,0,0,0.0,515.6,302.0,817.6,7.433,https://m.kejinshou.com/goods/details/30273015
43,15,pzds,MC55R2,155,78,36,1,100,4.65,799.6,243.0,1147.25,7.402,https://www.pzds.com/goodsDetails/MC55R2/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
44,30,kejinshou,35945317,144.0,71,33,0,0,9.56,785.6,264.0,1059.16,7.355,https://m.kejinshou.com/goods/details/35945317
45,19,pzds,MC5RD8,155,75,33,0,0,0.36,796.6,338.0,1134.96,7.322,https://www.pzds.com/goodsDetails/MC5RD8/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
46,48,kejinshou,35777377,130.0,76,24,0,0,4.15,636.8,299.0,939.95,7.23,https://m.kejinshou.com/goods/details/35777377
47,28,kejinshou,35487773,150.0,80,32,0,0,3.08,829.35,248.0,1080.43,7.203,https://m.kejinshou.com/goods/details/35487773
48,64,kejinshou,34964442,125.0,63,21,0,0,60.86,693.4,139.0,893.26,7.146,https://m.kejinshou.com/goods/details/34964442
49,20,pzds,MC7ACK,160,80,34,1,100,35.61,718.8,274.0,1128.41,7.053,https://www.pzds.com/goodsDetails/MC7ACK/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
50,143,kejinshou,31084142,80.0,53,18,0,0,3.36,350.3,210.0,563.66,7.046,https://m.kejinshou.com/goods/details/31084142
51,62,pzds,MC98A1,130,80,27,0,0,5.61,770.8,120.0,896.41,6.895,https://www.pzds.com/goodsDetails/MC98A1/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
