value_rank,strength_rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,detail_url
29,36,MCC7ML,122,64,21,10.52,667.6,74.0,752.12,6.165,https://www.pzds.com/goodsDetails/MCC7ML/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
30,23,MCEHQ4,150,73,35,9.93,647.6,253.0,910.52,6.07,https://www.pzds.com/goodsDetails/MCEHQ4/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
31,27,MC0QQV,150,80,44,7.41,621.8,250.0,879.21,5.861,https://www.pzds.com/goodsDetails/MC0QQV/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
32,37,MC4JNA,122,75,29,8.44,450.4,254.0,712.84,5.843,https://www.pzds.com/goodsDetails/MC4JNA/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
33,22,MCB7UZ,159,76,36,18.0,666.15,229.0,913.15,5.743,https://www.pzds.com/goodsDetails/MCB7UZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
34,30,MCGQGD,150,75,32,0.81,593.6,234.0,828.41,5.523,https://www.pzds.com/goodsDetails/MCGQGD/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
35,32,MCH6MD,160,80,40,0.33,642.8,174.0,817.12,5.107,https://www.pzds.com/goodsDetails/MCH6MD/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
36,38,MCEQ82,138,74,30,2.04,531.9,170.0,703.94,5.101,https://www.pzds.com/goodsDetails/MCEQ82/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
37,34,MC3Q8U,158,77,32,13.42,571.4,220.0,804.82,5.094,https://www.pzds.com/goodsDetails/MC3Q8U/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
38,35,MC95Y4,158,73,29,11.56,521.95,220.0,753.51,4.769,https://www.pzds.com/goodsDetails/MC95Y4/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
39,39,MCHKYJ,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCHKYJ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
40,40,MC21SN,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC21SN/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
41,41,MC49PJ,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC49PJ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
42,42,MC8F5C,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC8F5C/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
43,43,MC193N,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC193N/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
44,44,MC7DG1,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC7DG1/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
45,45,MC37G5,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC37G5/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
46,46,MCFXRQ,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCFXRQ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
47,47,MC4A57,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC4A57/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
48,48,MC4KHZ,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC4KHZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
49,49,MC691P,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC691P/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
50,50,MCCN04,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCCN04/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
51,51,MCG8KV,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCG8KV/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
52,52,MCANT7,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCANT7/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
53,53,MCGC31,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCGC31/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
54,54,MCHUL5,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCHUL5/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
55,55,MC1LQZ,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC1LQZ/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
56,56,MCH51L,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCH51L/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
57,57,MCE6CB,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MCE6CB/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
58,58,MC2GLP,0,0,0,0.0,0,0,0.0,0.0,https://www.pzds.com/goodsDetails/MC2GLP/6?from=%E5%95%86%E5%93%81%E5%88%97%E8%A1%A8
